id,fid,h_id,a_id,date,league_id,season,h_goals,a_goals,team_h,team_a,h_xg,a_xg,h_w,h_d,h_l,league,h_shot,a_shot,h_shotOnTarget,a_shotOnTarget,h_deep,a_deep,h_ppda,a_ppda
81,958431,89,82,08/08/2015 15:45,1,2015,1,0,Manchester United,Tottenham,0.627539,0.6746,0.2859,0.3905,0.3236,EPL,9,9,1,4,4,10,13.8261,8.2188
82,958427,73,71,08/08/2015 18:00,1,2015,0,1,Bournemouth,Aston Villa,0.876106,0.782253,0.3435,0.3607,0.2958,EPL,11,7,2,3,11,2,6.9,11.8462
83,958429,72,90,08/08/2015 18:00,1,2015,2,2,Everton,Watford,0.604226,0.557892,0.2988,0.4337,0.2675,EPL,10,11,5,5,5,4,6.65,17.1579
84,958430,75,77,08/08/2015 18:00,1,2015,4,2,Leicester,Sunderland,2.56803,1.45946,0.6422,0.2057,0.1521,EPL,19,11,8,5,5,6,10.88,9.5556
85,958433,79,78,08/08/2015 18:00,1,2015,1,3,Norwich,Crystal Palace,1.13076,2.10975,0.1461,0.2159,0.638,EPL,17,11,6,7,5,10,5.7368,10.625
86,958428,80,84,08/08/2015 20:30,1,2015,2,2,Chelsea,Swansea,0.64396,2.59203,0.0304,0.0924,0.8772,EPL,11,17,3,10,10,5,10.3636,8.8333
87,958432,86,74,09/08/2015 16:30,1,2015,2,2,Newcastle United,Southampton,1.54613,1.2529,0.4386,0.3165,0.2449,EPL,9,14,4,4,3,5,12.7222,7
88,958426,83,81,09/08/2015 16:30,1,2015,0,2,Arsenal,West Ham,1.33166,0.535961,0.5751,0.2826,0.1423,EPL,22,8,6,4,11,0,8.1667,12.4545
89,958434,85,87,09/08/2015 19:00,1,2015,0,1,Stoke,Liverpool,0.381274,0.329873,0.2482,0.5454,0.2064,EPL,7,8,1,3,2,5,11.913,9.3462
90,958435,76,88,10/08/2015 23:00,1,2015,0,3,West Bromwich Albion,Manchester City,0.435238,1.9242,0.0615,0.1698,0.7687,EPL,9,20,2,7,4,8,23.2941,8.087
91,958472,71,89,14/08/2015 22:45,1,2015,0,1,Aston Villa,Manchester United,0.219118,0.660404,0.1056,0.4653,0.4291,EPL,5,9,1,2,3,5,10.0333,9.5
92,958476,74,72,15/08/2015 15:45,1,2015,0,3,Southampton,Everton,1.06214,1.39628,0.2536,0.2845,0.4619,EPL,17,10,4,4,10,5,8.8261,15.8125
93,958477,77,79,15/08/2015 18:00,1,2015,1,3,Sunderland,Norwich,0.329128,1.71686,0.051,0.1845,0.7645,EPL,6,18,2,6,2,6,10.1818,10.6667
94,958478,84,86,15/08/2015 18:00,1,2015,2,0,Swansea,Newcastle United,1.97424,0.113109,0.9165,0.0772,0.0063,EPL,19,4,6,2,4,0,6.2353,34.3333
95,958479,82,85,15/08/2015 18:00,1,2015,2,2,Tottenham,Stoke,1.70614,2.80956,0.1614,0.1925,0.6461,EPL,13,15,7,7,1,5,10.125,11.6071
96,958480,90,76,15/08/2015 18:00,1,2015,0,0,Watford,West Bromwich Albion,0.760848,0.684036,0.3286,0.3819,0.2895,EPL,16,6,5,0,3,4,5.9524,11.5
97,958481,81,75,15/08/2015 18:00,1,2015,1,2,West Ham,Leicester,0.513491,1.80939,0.0482,0.171,0.7808,EPL,10,10,3,5,10,5,6.375,15.0455
98,958473,78,83,16/08/2015 16:30,1,2015,1,2,Crystal Palace,Arsenal,0.964134,2.05542,0.1303,0.2113,0.6584,EPL,11,20,4,7,5,15,11.7083,6.9655
99,958475,88,80,16/08/2015 19:00,1,2015,3,0,Manchester City,Chelsea,2.18579,0.482423,0.8142,0.1391,0.0467,EPL,18,10,8,3,15,6,5.7273,6.6207
100,958474,87,73,17/08/2015 23:00,1,2015,1,0,Liverpool,Bournemouth,2.15062,0.460805,0.8133,0.1411,0.0456,EPL,18,13,2,2,9,6,6.4138,10
101,959737,89,86,22/08/2015 15:45,1,2015,0,0,Manchester United,Newcastle United,1.2491,0.4384,0.5889,0.292,0.1191,EPL,20,7,8,0,12,1,4.7097,18.4375
102,959741,79,85,22/08/2015 18:00,1,2015,1,1,Norwich,Stoke,3.14888,0.698228,0.9013,0.074,0.0247,EPL,20,6,7,1,4,2,9.6333,10.9286
103,959745,77,84,22/08/2015 18:00,1,2015,1,1,Sunderland,Swansea,0.569426,1.56064,0.1219,0.2431,0.635,EPL,10,20,2,9,2,4,10.1034,8.5789
104,959725,78,71,22/08/2015 18:00,1,2015,2,1,Crystal Palace,Aston Villa,1.23807,0.765278,0.4747,0.3079,0.2174,EPL,16,11,6,2,9,6,8.1667,8.4762
105,959733,75,82,22/08/2015 18:00,1,2015,1,1,Leicester,Tottenham,0.829012,1.89437,0.1213,0.2191,0.6596,EPL,13,19,2,6,5,5,15.5789,4.9474
106,959754,81,73,22/08/2015 18:00,1,2015,3,4,West Ham,Bournemouth,1.50203,2.8554,0.1041,0.1757,0.7202,EPL,10,15,4,7,3,7,9.9091,10.7222
107,959751,76,80,23/08/2015 16:30,1,2015,2,3,West Bromwich Albion,Chelsea,1.42622,2.02778,0.2216,0.2612,0.5172,EPL,15,15,6,5,4,8,14.8235,17.5
108,959729,72,88,23/08/2015 19:00,1,2015,0,2,Everton,Manchester City,0.579338,1.57983,0.1063,0.2405,0.6532,EPL,10,16,1,9,3,9,19.25,9.36
109,959748,90,74,23/08/2015 19:00,1,2015,0,0,Watford,Southampton,1.17588,0.68359,0.5229,0.3118,0.1653,EPL,13,14,0,5,2,2,9.0455,7.4074
